,Date,G#,Age,Tm,Away,Opp,Att,Rush_YDS,Y/A,Rush_TD,Tgt,Rec,Rec_YDS,Y/R,Rec_TD,Ctch%,Y/Tgt,Snap_Pct,Snaps,Name,Position,Season,DKPt
0,2020-09-13,1.0,25.034000000000002,MIN,0,GNB,12.0,50.0,4.17,2.0,2.0,1.0,-2.0,-2.0,0.0,50.0%,-1.0,58%,30.0,Dalvin Cook,RB,2020,21.8
1,2020-09-20,2.0,25.041,MIN,1,IND,14.0,63.0,4.5,1.0,2.0,2.0,8.0,4.0,0.0,100.0%,4.0,80%,43.0,Dalvin Cook,RB,2020,17.1
2,2020-09-27,3.0,25.048000000000002,MIN,0,TEN,22.0,181.0,8.23,1.0,5.0,2.0,18.0,9.0,0.0,40.0%,3.6,74%,48.0,Dalvin Cook,RB,2020,29.9
3,2020-10-04,4.0,25.055,MIN,1,HOU,27.0,130.0,4.81,2.0,2.0,2.0,16.0,8.0,0.0,100.0%,8.0,74%,49.0,Dalvin Cook,RB,2020,31.6
4,2020-10-11,5.0,25.061999999999998,MIN,1,SEA,17.0,65.0,3.82,1.0,5.0,5.0,24.0,4.8,0.0,100.0%,4.8,41%,36.0,Dalvin Cook,RB,2020,19.9
5,2020-11-01,7.0,25.083000000000002,MIN,1,GNB,30.0,163.0,5.43,3.0,3.0,2.0,63.0,31.5,1.0,66.7%,21.0,88%,46.0,Dalvin Cook,RB,2020,51.6
6,2020-11-08,8.0,25.09,MIN,0,DET,22.0,206.0,9.36,2.0,2.0,2.0,46.0,23.0,0.0,100.0%,23.0,66%,38.0,Dalvin Cook,RB,2020,42.2
7,2020-11-16,9.0,25.098000000000003,MIN,1,CHI,30.0,96.0,3.2,0.0,4.0,4.0,16.0,4.0,0.0,100.0%,4.0,81%,59.0,Dalvin Cook,RB,2020,15.2
8,2020-11-22,10.0,25.104,MIN,0,DAL,27.0,115.0,4.26,1.0,5.0,5.0,45.0,9.0,0.0,100.0%,9.0,81%,52.0,Dalvin Cook,RB,2020,29.0
9,2020-11-29,11.0,25.111,MIN,0,CAR,18.0,61.0,3.39,0.0,4.0,4.0,21.0,5.25,0.0,100.0%,5.25,63%,46.0,Dalvin Cook,RB,2020,11.2
10,2020-12-06,12.0,25.118000000000002,MIN,0,JAX,32.0,120.0,3.75,0.0,9.0,6.0,59.0,9.83,0.0,66.7%,6.56,87%,79.0,Dalvin Cook,RB,2020,26.9
11,2020-09-14,1.0,26.254,TEN,1,DEN,31.0,116.0,3.74,0.0,3.0,3.0,15.0,5.0,0.0,100.0%,5.0,75%,61.0,Derrick Henry ,RB,2020,19.1
